PassengerId,Survived
892,0.07906705
893,0.35189795
894,0.073919415
895,0.056022108
896,0.5002835
897,0.05735892
898,0.7700508
899,0.06690684
900,0.9932573
901,0.07303235
902,0.054245442
903,0.8096905
904,1.0
905,0.15462056
906,1.0
907,0.9996254
908,0.07314217
909,0.2002455
910,0.35846892
911,0.99325323
912,0.10791409
913,0.13889542
914,0.9999953
915,0.1359233
916,1.0
917,0.17311671
918,1.0
919,0.2002455
920,0.5571388
921,0.5435338
922,0.15462056
923,0.060351193
924,0.6970702
925,0.6479631
926,0.09330863
927,0.20031473
928,0.44360456
929,0.44420716
930,0.058025092
931,0.8463688
932,0.012619913
933,0.7936021
934,0.054140836
935,0.67109233
936,0.9999999
937,0.05431217
938,0.10951862
939,0.07859886
940,1.0
941,0.522985
942,0.43106464
943,0.10213089
944,0.99997723
945,1.0
946,0.10605115
947,0.00017729402
948,0.054245442
949,0.05368665
950,0.16704032
951,1.0
952,0.054245442
953,0.034973174
954,0.053913355
955,0.7724486
956,0.9635538
957,0.75351036
958,0.7762624
959,0.1422101
960,0.09982446
961,1.0
962,0.77307403
963,0.054245442
964,0.44350907
965,0.09384635
966,1.0
967,0.0107188225
968,0.05459881
969,1.0
970,0.035769135
971,0.77307403
972,0.5359426
973,0.6683137
974,0.8096905
975,0.054245442
976,0.07349643
977,0.011212051
978,0.7762624
979,0.44360456
980,0.77307403
981,0.09479028
982,0.41328907
983,0.05397007
984,1.0
985,0.05459881
986,0.08384204
987,0.054017425
988,1.0
989,0.05431217
990,0.44345498
991,0.05459881
992,1.0
993,0.15462056
994,0.07859886
995,0.05397007
996,0.29265422
997,0.11586702
998,0.07901716
999,0.07859886
1000,0.05613938
1001,0.035769135
1002,0.10221875
1003,0.77379733
1004,0.9998934
1005,0.7614195
1006,1.0
1007,0.011212051
1008,0.18846825
1009,0.5286668
1010,0.12558332
1011,0.6139183
1012,0.66589814
1013,0.040987402
1014,1.0
1015,0.05276367
1016,0.07859886
1017,0.44862396
1018,0.054017425
1019,0.8132453
1020,0.035769135
1021,0.05459881
1022,0.05459881
1023,0.09953606
1024,0.9496366
1025,0.028083533
1026,0.054245442
1027,0.054150462
1028,0.2002455
1029,0.035769135
1030,0.44360456
1031,6.8162924e-05
1032,0.022902489
1033,1.0
1034,0.9635538
1035,0.061211795
1036,0.7936021
1037,0.027231365
1038,0.05486259
1039,0.05459881
1040,0.7936021
1041,0.078863144
1042,1.0
1043,0.2111629
1044,0.042347997
1045,0.499844
1046,0.018590003
1047,0.05345577
1048,1.0
1049,0.44345498
1050,0.7936021
1051,0.5089754
1052,0.7726574
1053,0.5359426
1054,0.6681748
1055,0.052198112
1056,0.035769135
1057,0.5533766
1058,0.8690095
1059,0.021734387
1060,0.9997432
1061,0.44455191
1062,0.05345577
1063,0.2002455
1064,0.1748361
1065,0.20031473
1066,0.018590003
1067,0.9979547
1068,0.97924626
1069,0.0796406
1070,0.99983525
1071,1.0
1072,0.035769135
1073,0.008061737
1074,1.0
1075,0.07859886
1076,1.0
1077,0.032738417
1078,0.46951118
1079,0.08259794
1080,1.5746338e-07
1081,0.035769135
1082,0.15462056
1083,0.8096905
1084,0.075214624
1085,0.07314217
1086,0.05794263
1087,0.054150462
1088,0.03806439
1089,0.44339448
1090,0.039722145
1091,0.4436523
1092,0.90446866
1093,0.075328976
1094,0.25135866
1095,0.9985262
1096,0.039722145
1097,0.08257651
1098,0.77307403
1099,0.039722145
1100,0.9997432
1101,0.054245442
1102,0.11586702
1103,0.052310646
1104,0.4193653
1105,0.6139183
1106,0.9999994
1107,0.14075264
1108,0.7762624
1109,0.2812084
1110,1.0
1111,0.05459881
1112,0.9808603
1113,0.05459881
1114,0.70846856
1115,0.054017425
1116,0.99972594
1117,0.68310624
1118,0.054017425
1119,0.77307403
1120,0.07681966
1121,0.035769135
1122,0.4524558
1123,0.99999404
1124,0.16086048
1125,0.07936454
1126,0.41814265
1127,0.054150462
1128,0.5735047
1129,0.2002455
1130,0.99944556
1131,1.0
1132,0.9997432
1133,0.99812424
1134,0.03806439
1135,0.054226458
1136,0.028173089
1137,0.40688133
1138,0.75351036
1139,0.05794263
1140,0.6139183
1141,0.17344946
1142,0.9999511
1143,0.05431217
1144,0.05610946
1145,0.05760041
1146,0.058025062
1147,0.0534558
1148,0.07859886
1149,0.05459881
1150,0.67109233
1151,0.05397007
1152,0.16155225
1153,0.054150462
1154,0.99885106
1155,0.499844
1156,0.087206006
1157,0.054245442
1158,0.6068478
1159,0.05345577
1160,0.44360456
1161,0.056022108
1162,0.12558332
1163,0.07859886
1164,1.0
1165,0.86752284
1166,0.2002455
1167,0.6139183
1168,0.039722145
1169,0.15462056
1170,0.13703248
1171,0.039722145
1172,0.44420716
1173,0.07602528
1174,0.77307403
1175,0.68310624
1176,0.54645526
1177,0.05276367
1178,0.05276367
1179,0.32254368
1180,0.20031473
1181,0.05459881
